vehicle_id,registration_number,vehicle_type,owner_person_id,make_model,color,status,case_id,evidence_id
V00607,TN-51-H-1480,SUV,P02900,Honda City,Blue,Active,C0209,nan
V00608,WB-07-Z-4163,SUV,P02902,Tata Nexon,Silver,Active,C0209,nan
V00609,TN-59-C-1866,Car,P02906,Honda City,Red,Active,C0209,nan
V00610,WB-76-Y-1446,Motorcycle,P02909,Honda City,White,Active,C0209,E02178
V00611,UP-56-B-1782,SUV,P02910,Tata Nexon,Blue,Active,C0209,nan
V00612,TN-29-R-7737,SUV,P02912,Toyota Glanza,Green,Inactive,C0209,nan
V00613,GJ-73-J-1789,Van,P02929,Honda City,Grey,Active,C0210,E02190
V00614,WB-94-U-5731,Car,P02931,Kia Sonet,Green,Active,C0210,E02191
V00615,GJ-64-I-4221,Motorcycle,P02932,Bajaj Pulsar,Black,Active,C0211,nan
V00616,UP-39-Y-4730,Commercial Vehicle,P02934,Toyota Glanza,White,Active,C0211,nan
V00617,UP-27-M-3183,Motorcycle,P02940,Kia Sonet,Silver,Active,C0211,E02200
V00618,UP-28-O-7208,Van,P02944,Mahindra XUV300,Blue,Active,C0212,E02207
V00619,KL-32-M-9024,Car,P02948,Hyundai i20,Green,Active,C0212,E02208
V00620,MH-55-Q-5736,Car,P02950,Kia Sonet,Silver,Active,C0212,nan
V00621,MH-78-M-6754,Commercial Vehicle,P02953,Mahindra XUV300,Black,Active,C0213,nan
V00622,KL-08-P-6229,Truck,P02955,Maruti Swift,Grey,Active,C0213,nan
V00623,UP-57-S-2433,Van,P02960,Toyota Glanza,White,Active,C0213,nan
V00624,TS-10-M-1968,SUV,P02963,Bajaj Pulsar,Green,Inactive,C0213,nan
V00625,HR-05-J-4715,Car,P02966,Maruti Swift,Black,Active,C0214,nan
V00626,MH-13-K-2202,Van,P01272,Bajaj Pulsar,Red,Active,C0216,nan
V00627,MH-66-N-8211,Motorcycle,P01548,Bajaj Pulsar,Grey,Active,C0218,nan
V00628,HR-38-O-8280,Commercial Vehicle,P02984,Honda City,Silver,Active,C0218,nan
V00629,UP-27-D-2418,SUV,P02987,Toyota Glanza,Blue,Active,C0218,nan
V00630,MH-28-H-5137,Car,P02989,Kia Sonet,Grey,Active,C0219,nan
V00631,TN-98-D-3726,Commercial Vehicle,P02991,Mahindra XUV300,Grey,Active,C0219,nan
V00632,MH-27-G-2914,Car,P02995,Bajaj Pulsar,Grey,Active,C0219,E02262
V00633,MP-78-O-7706,Car,P02999,Hyundai i20,White,Active,C0219,nan
V00634,WB-45-H-2448,Motorcycle,P03001,Tata Nexon,Blue,Inactive,C0219,E02263
V00635,DL-15-T-8255,Truck,P03007,Kia Sonet,Red,Inactive,C0219,nan
V00636,KA-50-K-8916,Motorcycle,P03010,Honda City,Maroon,Active,C0219,nan
V00637,MH-56-V-4247,Commercial Vehicle,P03013,Mahindra XUV300,Maroon,Active,C0219,nan
V00638,MP-35-K-8505,Motorcycle,P03014,Toyota Glanza,Grey,Active,C0219,E02264
V00639,KA-47-Z-2125,Truck,P03016,Bajaj Pulsar,Green,Active,C0219,nan
V00640,KL-79-R-4239,Motorcycle,P03018,Honda City,Black,Active,C0219,nan
V00641,MP-03-Z-2419,Car,P03022,Kia Sonet,White,Active,C0219,nan
V00642,KL-32-M-8189,Motorcycle,P03026,Honda City,Silver,Inactive,C0219,nan
V00643,TN-85-L-4565,Truck,P03028,Hyundai i20,Red,Active,C0219,nan
V00644,UP-03-V-2834,Van,P03029,Kia Sonet,Red,Active,C0220,nan
V00645,MH-75-C-3498,Van,P03039,Bajaj Pulsar,Green,Active,C0222,E02276
V00646,MH-71-S-4444,Truck,P03042,Honda City,Blue,Active,C0222,nan
V00647,RJ-20-X-4081,Commercial Vehicle,P03061,Mahindra XUV300,Maroon,Active,C0223,nan
V00648,KL-88-Q-2563,Truck,P01080,Mahindra XUV300,Red,Active,C0224,nan
V00649,GJ-20-C-8031,Commercial Vehicle,P03066,Bajaj Pulsar,Blue,Active,C0224,nan
V00650,HR-93-O-7739,Commercial Vehicle,P03067,Bajaj Pulsar,Red,Active,C0224,nan
V00651,UP-66-Z-1785,Truck,P03070,Honda City,White,Active,C0224,E02285
V00652,KL-79-X-9676,Motorcycle,P03071,Maruti Swift,Black,Active,C0224,nan
V00653,RJ-69-D-3701,Van,P03079,Maruti Swift,Black,Inactive,C0226,E02291
V00654,TS-44-F-2130,Car,P03082,Bajaj Pulsar,Grey,Active,C0226,nan
V00655,MH-65-Z-7096,Motorcycle,P03088,Mahindra XUV300,Blue,Inactive,C0227,E02304
V00656,MH-76-J-1001,Commercial Vehicle,P03089,Hyundai i20,Blue,Active,C0227,nan
V00657,MH-52-C-4860,Motorcycle,P03094,Kia Sonet,Green,Active,C0227,E02305
V00658,TS-82-P-5946,SUV,P03096,Tata Nexon,White,Active,C0227,nan
V00659,WB-09-G-1353,Truck,P03108,Maruti Swift,Blue,Active,C0228,E02318
V00660,TN-01-E-2326,Truck,P03110,Kia Sonet,Grey,Active,C0228,E02319
V00661,TN-66-N-5351,Truck,P03111,Hyundai i20,White,Active,C0228,nan
V00662,UP-51-G-9787,SUV,P03121,Mahindra XUV300,Red,Active,C0228,E02320
V00663,TN-01-M-5499,Van,P03130,Toyota Glanza,Green,Active,C0229,E02359
V00664,KL-90-D-4914,Motorcycle,P03132,Tata Nexon,Grey,Active,C0229,nan
V00665,DL-47-Q-1456,Truck,P03133,Mahindra XUV300,Blue,Active,C0229,nan
V00666,HR-68-A-2728,Van,P03142,Mahindra XUV300,Maroon,Active,C0229,E02360
V00667,MH-62-C-1371,SUV,P03143,Toyota Glanza,Red,Inactive,C0229,nan
V00668,GJ-98-B-5347,Truck,P03144,Mahindra XUV300,Green,Active,C0229,E02361
V00669,MP-04-V-6104,Van,P03145,Kia Sonet,Blue,Active,C0229,E02362
V00670,MP-14-D-2176,Car,P03154,Bajaj Pulsar,Green,Active,C0229,E02363
V00671,MH-41-U-9225,Car,P03160,Tata Nexon,Red,Active,C0229,E02364
V00672,WB-01-A-8970,Car,P03161,Tata Nexon,Blue,Active,C0229,E02365
V00673,WB-35-L-4744,Commercial Vehicle,P03179,Toyota Glanza,Maroon,Inactive,C0229,E02366
V00674,TN-28-J-5481,SUV,P03185,Honda City,Silver,Inactive,C0231,E02396
V00675,UP-36-E-4816,SUV,P03193,Kia Sonet,Grey,Active,C0231,E02397
V00676,WB-70-I-8172,Motorcycle,P03203,Hyundai i20,Silver,Active,C0231,E02398
V00677,TN-92-B-5213,Van,P03209,Kia Sonet,Maroon,Inactive,C0231,E02399
V00678,MH-09-T-3348,Motorcycle,P03214,Honda City,Maroon,Inactive,C0231,nan
V00679,UP-58-X-5544,Car,P03224,Toyota Glanza,Black,Active,C0232,E02408
V00680,MP-56-K-5215,Commercial Vehicle,P03225,Maruti Swift,Green,Inactive,C0232,E02409
V00681,MH-24-J-4541,SUV,P03228,Mahindra XUV300,Black,Inactive,C0233,nan
V00682,KA-45-N-6900,Commercial Vehicle,P03235,Mahindra XUV300,Green,Active,C0234,E02413
V00683,MP-75-N-4011,Van,P03239,Tata Nexon,Blue,Inactive,C0235,nan
V00684,HR-72-M-7997,Truck,P01874,Maruti Swift,Silver,Active,C0237,nan
V00685,MH-75-K-2195,Commercial Vehicle,P03243,Kia Sonet,Maroon,Active,C0237,E02438
V00686,HR-57-N-3437,Motorcycle,P03244,Honda City,Grey,Active,C0237,E02439
V00687,UP-98-W-4711,Commercial Vehicle,P03248,Tata Nexon,Grey,Active,C0237,nan
V00688,WB-40-N-9493,Car,P03259,Mahindra XUV300,Maroon,Active,C0237,nan
V00689,TN-34-A-8137,Truck,P03279,Kia Sonet,Red,Active,C0238,nan
V00690,MP-23-D-9566,SUV,P03283,Toyota Glanza,Blue,Active,C0238,E02450
V00691,TS-42-T-7089,Truck,P03285,Bajaj Pulsar,Maroon,Active,C0238,E02451
V00692,UP-87-S-4707,Van,P03286,Honda City,White,Active,C0238,nan
V00693,GJ-36-P-4187,Van,P03287,Mahindra XUV300,White,Active,C0238,nan
V00694,DL-47-E-4149,SUV,P03291,Kia Sonet,Blue,Active,C0238,nan
V00695,TN-65-Y-5565,Van,P03292,Toyota Glanza,Silver,Active,C0238,E02452
V00696,MH-69-Z-3263,Car,P03306,Honda City,Green,Inactive,C0239,nan
V00697,MP-82-A-9819,SUV,P03315,Kia Sonet,White,Active,C0239,E02471
V00698,MH-45-P-7023,Van,P03320,Mahindra XUV300,Green,Active,C0239,E02472
V00699,MP-61-C-9549,Truck,P03331,Honda City,Red,Active,C0241,nan
V00700,DL-35-E-5778,Motorcycle,P03332,Tata Nexon,Green,Active,C0241,E02480
V00701,UP-65-J-3888,Car,P03341,Honda City,Grey,Active,C0242,nan
V00702,GJ-31-Q-1959,Car,P03344,Honda City,Green,Active,C0242,nan
V00703,MP-41-W-9911,Car,P03346,Kia Sonet,Grey,Inactive,C0242,E02497
V00704,MP-19-Q-7901,Van,P03347,Tata Nexon,Maroon,Active,C0242,nan
V00705,WB-48-F-2429,Truck,P03354,Bajaj Pulsar,White,Active,C0242,nan
V00706,DL-75-T-6221,Commercial Vehicle,P03355,Tata Nexon,Green,Active,C0242,nan
V00707,TN-88-T-1773,Commercial Vehicle,P00081,Bajaj Pulsar,Blue,Active,C0243,nan
V00708,KA-56-P-5009,Motorcycle,P03361,Maruti Swift,White,Active,C0243,nan
V00709,UP-88-U-8870,Truck,P03363,Kia Sonet,Maroon,Active,C0243,nan
V00710,GJ-85-Z-9112,Motorcycle,P03378,Bajaj Pulsar,Black,Active,C0244,E02532
V00711,MH-79-D-4894,Van,P03380,Hyundai i20,White,Active,C0244,E02533
V00712,TN-79-O-6650,Truck,P03381,Hyundai i20,Black,Active,C0244,nan
V00713,TN-07-I-2726,Commercial Vehicle,P03382,Kia Sonet,White,Active,C0244,E02534
V00714,TN-95-R-3130,Car,P03392,Tata Nexon,Blue,Active,C0244,E02535
V00715,HR-93-S-1821,SUV,P03400,Hyundai i20,Grey,Inactive,C0244,nan
V00716,GJ-71-Q-2960,Car,P03401,Kia Sonet,Blue,Active,C0244,nan
V00717,WB-40-Y-9590,SUV,P03403,Honda City,Maroon,Active,C0244,nan
V00718,TN-55-U-4362,SUV,P03410,Honda City,Black,Inactive,C0244,nan
V00719,GJ-83-U-9828,Commercial Vehicle,P03417,Bajaj Pulsar,Red,Active,C0244,nan
V00720,MH-54-C-7224,Truck,P03427,Mahindra XUV300,Green,Active,C0245,E02556
V00721,KA-79-S-8099,Motorcycle,P03439,Kia Sonet,Black,Active,C0245,nan
V00722,GJ-80-T-6277,Car,P03440,Bajaj Pulsar,White,Active,C0245,nan
V00723,RJ-71-M-4725,SUV,P03441,Honda City,Grey,Active,C0245,E02557
V00724,TS-11-Z-7278,Van,P03450,Hyundai i20,Black,Active,C0246,nan
V00725,GJ-12-Z-3646,Van,P03451,Hyundai i20,Black,Inactive,C0247,E02568
V00726,TS-15-O-5986,Van,P03453,Mahindra XUV300,Black,Active,C0247,E02569
V00727,MH-17-D-4790,Commercial Vehicle,P03457,Hyundai i20,White,Active,C0248,nan
V00728,MH-82-Z-2594,SUV,P03459,Hyundai i20,White,Inactive,C0249,nan
V00729,MH-40-O-9520,Motorcycle,P03461,Maruti Swift,Silver,Active,C0249,nan
V00730,MH-89-T-9047,Car,P03467,Toyota Glanza,Black,Active,C0249,nan
V00731,UP-78-J-1525,Motorcycle,P03471,Maruti Swift,Green,Active,C0249,nan
V00732,TN-39-G-5925,Truck,P03479,Bajaj Pulsar,Blue,Active,C0250,nan
V00733,TN-33-U-7387,Motorcycle,P03480,Honda City,Black,Active,C0250,nan
V00734,RJ-86-B-7600,Motorcycle,P03483,Kia Sonet,Silver,Active,C0250,nan
V00735,WB-78-T-8868,Truck,P03486,Bajaj Pulsar,Maroon,Active,C0250,nan
V00736,HR-66-S-2377,Commercial Vehicle,P03493,Hyundai i20,Silver,Active,C0250,nan
V00737,GJ-32-W-7227,Motorcycle,P03496,Toyota Glanza,Red,Active,C0250,nan
V00738,MP-36-E-2203,Motorcycle,P03501,Tata Nexon,Silver,Active,C0251,nan
V00739,GJ-72-K-7219,Commercial Vehicle,P03503,Maruti Swift,Black,Active,C0251,nan
V00740,TN-50-H-8274,Commercial Vehicle,P03512,Mahindra XUV300,Blue,Active,C0251,nan
V00741,GJ-09-E-2572,Car,P03514,Maruti Swift,White,Active,C0251,nan
V00742,MP-50-O-9237,Motorcycle,P03517,Bajaj Pulsar,Black,Active,C0252,nan
V00743,MP-17-G-2376,Van,P03519,Toyota Glanza,Silver,Active,C0252,nan
V00744,KA-98-D-7936,Commercial Vehicle,P03520,Toyota Glanza,Grey,Active,C0252,nan
V00745,UP-49-M-2493,Motorcycle,P03521,Hyundai i20,Blue,Active,C0252,E02628
V00746,TS-44-N-3885,Motorcycle,P03545,Maruti Swift,Green,Active,C0253,nan
V00747,MH-24-Y-1872,SUV,P03549,Toyota Glanza,Red,Active,C0253,nan
V00748,MH-14-U-7779,Truck,P03560,Mahindra XUV300,Maroon,Active,C0254,nan
V00749,HR-37-J-4427,Van,P03564,Maruti Swift,Maroon,Active,C0254,nan
V00750,KA-51-L-6188,Van,P03567,Hyundai i20,Red,Active,C0254,E02652
V00751,HR-37-V-2130,SUV,P03575,Tata Nexon,Red,Active,C0254,E02653
V00752,MP-91-K-5073,Commercial Vehicle,P03576,Toyota Glanza,Red,Active,C0254,E02654
V00753,MH-29-O-2570,Car,P03579,Tata Nexon,Green,Active,C0255,E02677
V00754,MH-40-W-7100,Motorcycle,P03582,Hyundai i20,Grey,Active,C0255,nan
V00755,MH-83-Z-3758,Truck,P03584,Mahindra XUV300,Blue,Active,C0255,nan
V00756,TS-94-F-8120,Truck,P03587,Kia Sonet,Blue,Active,C0255,nan
V00757,KA-74-E-1142,SUV,P03588,Honda City,Maroon,Active,C0255,nan
V00758,DL-27-K-8717,Van,P03589,Maruti Swift,Maroon,Active,C0255,nan
V00759,UP-01-K-7698,Commercial Vehicle,P03590,Mahindra XUV300,Maroon,Active,C0255,nan
V00760,MH-87-W-9913,Car,P03599,Kia Sonet,Maroon,Active,C0255,nan
V00761,UP-92-Y-4821,Truck,P03600,Honda City,Maroon,Active,C0255,nan
V00762,DL-86-A-4859,Car,P03605,Honda City,Red,Active,C0256,E02681
V00763,TN-64-N-8776,SUV,P03607,Toyota Glanza,Black,Active,C0256,E02682
V00764,RJ-10-C-3040,Commercial Vehicle,P03609,Toyota Glanza,Blue,Active,C0256,nan
V00765,TN-26-Q-6533,Motorcycle,P02828,Kia Sonet,White,Active,C0257,nan
V00766,MP-28-D-5120,SUV,P03612,Bajaj Pulsar,Red,Inactive,C0257,nan
V00767,DL-34-C-1222,SUV,P03614,Mahindra XUV300,Blue,Active,C0257,E02688
V00768,MH-45-S-4585,Car,P03624,Bajaj Pulsar,Blue,Active,C0257,nan
V00769,TN-35-W-3315,Truck,P03625,Tata Nexon,Black,Active,C0257,nan
V00770,KL-46-A-3765,Commercial Vehicle,P03626,Bajaj Pulsar,Silver,Active,C0258,nan
V00771,MP-32-U-7736,SUV,P03630,Toyota Glanza,Green,Active,C0259,E02730
V00772,TN-16-I-1498,Van,P03634,Kia Sonet,Grey,Active,C0259,E02731
V00773,GJ-54-T-7102,Van,P03637,Hyundai i20,Silver,Inactive,C0259,nan
V00774,KA-13-D-6319,SUV,P03644,Tata Nexon,Green,Active,C0259,nan
V00775,DL-76-K-4506,Commercial Vehicle,P03652,Hyundai i20,Blue,Active,C0259,E02732
V00776,UP-06-L-2225,SUV,P03661,Tata Nexon,Black,Active,C0259,E02733
V00777,MP-22-J-7112,Motorcycle,P03673,Kia Sonet,Grey,Active,C0259,E02734
V00778,RJ-81-S-6707,Commercial Vehicle,P03674,Mahindra XUV300,Black,Active,C0259,nan
V00779,TS-91-A-7505,Commercial Vehicle,P03677,Bajaj Pulsar,Black,Active,C0259,E02735
V00780,UP-05-Q-3865,SUV,P03684,Kia Sonet,Black,Active,C0259,E02736
V00781,MH-13-H-5775,Truck,P03685,Maruti Swift,Grey,Active,C0259,E02737
V00782,KA-74-Z-4563,Motorcycle,P00188,Toyota Glanza,Silver,Active,C0260,nan
V00783,TN-73-U-7744,Van,P03686,Tata Nexon,Grey,Active,C0260,nan
V00784,MH-79-S-9649,Truck,P03690,Maruti Swift,Green,Active,C0261,nan
V00785,MH-20-A-7293,Car,P03694,Toyota Glanza,Grey,Active,C0261,E02745
V00786,MP-59-P-2108,Commercial Vehicle,P03695,Maruti Swift,Blue,Active,C0261,nan
V00787,RJ-22-L-3126,Van,P03702,Maruti Swift,White,Active,C0262,nan
V00788,TN-53-M-9150,Car,P03704,Tata Nexon,White,Active,C0262,nan
V00789,HR-84-T-1675,Commercial Vehicle,P03706,Tata Nexon,Grey,Active,C0262,nan
V00790,MH-92-F-9653,Commercial Vehicle,P03709,Tata Nexon,Silver,Active,C0262,E02764
V00791,MH-49-J-7030,Truck,P03710,Maruti Swift,Maroon,Inactive,C0262,E02765
V00792,UP-66-Q-1827,Truck,P03712,Hyundai i20,Blue,Active,C0262,nan
V00793,MP-54-A-4689,SUV,P03723,Toyota Glanza,Grey,Active,C0263,nan
V00794,GJ-81-U-1127,Truck,P03729,Mahindra XUV300,Green,Inactive,C0263,nan
V00795,KA-40-T-6201,Car,P03731,Kia Sonet,Maroon,Active,C0263,E02777
V00796,MH-94-U-7440,Van,P03734,Bajaj Pulsar,Green,Active,C0263,nan
V00797,DL-15-J-9306,Commercial Vehicle,P03739,Hyundai i20,Green,Active,C0264,nan
V00798,MH-02-H-2734,Van,P03751,Honda City,White,Active,C0264,nan
V00799,UP-96-T-6105,Truck,P03755,Mahindra XUV300,Blue,Active,C0264,nan
V00800,TN-94-O-3682,Truck,P03761,Tata Nexon,Red,Active,C0264,nan
V00801,MH-07-U-9030,Commercial Vehicle,P03765,Honda City,Maroon,Active,C0264,nan
V00802,MH-73-A-1077,Commercial Vehicle,P03771,Kia Sonet,Blue,Active,C0264,E02797
V00803,MH-60-Y-5638,Van,P03778,Hyundai i20,Black,Inactive,C0264,E02798
V00804,GJ-44-G-8747,Van,P03779,Toyota Glanza,Green,Active,C0264,E02799
V00805,WB-25-B-9969,Van,P03782,Mahindra XUV300,Silver,Active,C0264,nan
V00806,KA-64-J-8520,Commercial Vehicle,P03783,Toyota Glanza,Green,Active,C0265,nan
V00807,MP-37-P-5640,Car,P03791,Honda City,Maroon,Active,C0267,E02803
V00808,MH-59-C-1845,Van,P03794,Hyundai i20,Silver,Active,C0268,nan
V00809,DL-33-R-4515,SUV,P03796,Toyota Glanza,Green,Active,C0268,nan
V00810,TS-43-E-3907,Van,P03798,Maruti Swift,Silver,Inactive,C0268,E02828
V00811,TS-97-Q-2519,Car,P03799,Hyundai i20,Maroon,Active,C0268,E02829
V00812,MH-51-Q-3554,SUV,P03800,Tata Nexon,Blue,Active,C0268,nan
V00813,TN-20-U-3826,Motorcycle,P03804,Mahindra XUV300,Red,Inactive,C0268,nan
V00814,RJ-19-Q-2679,Truck,P03813,Toyota Glanza,Silver,Active,C0268,E02830
V00815,WB-33-X-4738,Commercial Vehicle,P03815,Honda City,Black,Active,C0268,nan
V00816,RJ-07-M-8499,Van,P03819,Maruti Swift,Black,Active,C0268,E02831
V00817,MH-16-Y-5375,Truck,P01436,Mahindra XUV300,White,Inactive,C0269,E02832
V00818,RJ-62-W-8400,Commercial Vehicle,P03828,Mahindra XUV300,Red,Active,C0269,E02838
V00819,MH-91-R-1963,Truck,P03833,Toyota Glanza,Green,Inactive,C0270,nan
V00820,KL-55-M-8452,Motorcycle,P03834,Hyundai i20,Black,Active,C0270,nan
V00821,UP-24-U-9767,Van,P03846,Tata Nexon,Grey,Active,C0272,E02858
V00822,GJ-49-G-7585,Motorcycle,P03426,Toyota Glanza,Maroon,Active,C0273,nan
V00823,MP-95-O-2685,Motorcycle,P01348,Honda City,Maroon,Inactive,C0273,E02859
V00824,UP-99-S-8534,Commercial Vehicle,P03858,Hyundai i20,Maroon,Active,C0273,nan
V00825,MH-06-D-7434,Truck,P03862,Hyundai i20,Silver,Active,C0273,E02866
V00826,MP-54-N-4902,Truck,P03863,Maruti Swift,Maroon,Active,C0273,E02867
V00827,TN-50-A-2924,Van,P03867,Honda City,Black,Active,C0273,E02868
V00828,MH-68-E-9305,Van,P03891,Honda City,Silver,Active,C0274,nan
V00829,MH-29-T-4361,Motorcycle,P03894,Toyota Glanza,Silver,Inactive,C0274,E02910
V00830,KL-34-U-9544,SUV,P03897,Honda City,Grey,Active,C0274,nan
V00831,KL-75-Q-4884,SUV,P03899,Honda City,Green,Active,C0274,nan
V00832,UP-51-C-7509,SUV,P03900,Maruti Swift,Black,Inactive,C0274,nan
V00833,TS-62-K-1727,Van,P03903,Honda City,Red,Active,C0274,E02911
V00834,TN-58-N-2154,Commercial Vehicle,P03907,Hyundai i20,Silver,Active,C0274,nan
V00835,TN-39-U-2148,Truck,P03910,Honda City,Red,Active,C0274,nan
V00836,WB-61-V-4839,Commercial Vehicle,P03915,Maruti Swift,Blue,Active,C0274,E02912
V00837,GJ-29-D-2924,Commercial Vehicle,P03923,Mahindra XUV300,Blue,Active,C0275,nan
V00838,GJ-03-D-8540,Truck,P03927,Bajaj Pulsar,Silver,Active,C0275,nan
V00839,MH-02-H-5309,Truck,P03930,Hyundai i20,Red,Active,C0275,E02921
V00840,UP-11-E-7559,Motorcycle,P03931,Kia Sonet,Grey,Active,C0275,E02922
V00841,TS-40-B-1230,Commercial Vehicle,P00678,Maruti Swift,White,Active,C0276,nan
V00842,HR-97-G-8290,Commercial Vehicle,P03934,Toyota Glanza,Maroon,Active,C0276,E02931
V00843,KA-06-P-3455,SUV,P03936,Kia Sonet,White,Active,C0276,E02932
V00844,MH-01-V-6821,Car,P03941,Mahindra XUV300,White,Active,C0276,nan
V00845,MH-81-V-1098,Car,P03943,Toyota Glanza,Silver,Active,C0276,E02933
V00846,TN-94-G-2666,SUV,P03944,Hyundai i20,Grey,Active,C0276,nan
V00847,MH-84-H-2127,Commercial Vehicle,P03945,Mahindra XUV300,Silver,Active,C0276,nan
V00848,GJ-59-X-1151,Truck,P03440,Maruti Swift,Grey,Active,C0277,E02934
V00849,DL-88-E-3759,Commercial Vehicle,P03951,Honda City,White,Active,C0278,E02952
V00850,MH-64-A-9730,Van,P03957,Maruti Swift,Blue,Active,C0278,nan
V00851,GJ-86-F-7722,SUV,P03961,Hyundai i20,Black,Active,C0278,nan
V00852,GJ-62-G-6681,Commercial Vehicle,P03968,Kia Sonet,Grey,Active,C0278,E02953
V00853,GJ-26-Z-5247,SUV,P03973,Hyundai i20,White,Active,C0279,nan
V00854,TN-60-W-8769,Commercial Vehicle,P03978,Honda City,Maroon,Active,C0279,nan
V00855,UP-59-W-1126,Truck,P03979,Maruti Swift,Grey,Inactive,C0279,E02967
V00856,GJ-58-H-8114,Truck,P03987,Tata Nexon,Green,Active,C0279,E02968
V00857,MH-85-N-8114,Motorcycle,P03989,Bajaj Pulsar,Maroon,Active,C0279,nan
V00858,GJ-47-E-9372,Car,P03993,Toyota Glanza,White,Active,C0279,nan
V00859,TS-92-Z-4145,Truck,P03994,Bajaj Pulsar,Red,Active,C0279,nan
V00860,MH-93-W-7254,Car,P04003,Kia Sonet,Red,Active,C0280,nan
V00861,UP-41-O-2276,Commercial Vehicle,P04009,Bajaj Pulsar,Silver,Active,C0282,nan
V00862,GJ-80-I-3351,Van,P04020,Maruti Swift,White,Active,C0285,nan
V00863,DL-51-C-9684,Motorcycle,P04021,Tata Nexon,Black,Active,C0285,nan
V00864,MP-77-Y-5572,Truck,P04025,Bajaj Pulsar,Silver,Active,C0285,nan
V00865,GJ-12-P-1292,Car,P04029,Mahindra XUV300,Silver,Active,C0285,nan
V00866,TN-11-R-9649,Car,P04034,Kia Sonet,Red,Active,C0285,nan
V00867,TN-25-T-9902,Car,P04040,Bajaj Pulsar,Silver,Active,C0285,nan
V00868,MH-73-Q-2308,Van,P02913,Hyundai i20,Maroon,Active,C0286,E03012
V00869,GJ-68-Q-5917,Commercial Vehicle,P04052,Tata Nexon,Black,Active,C0286,nan
V00870,MH-42-C-6542,SUV,P04059,Mahindra XUV300,Green,Active,C0286,nan
V00871,MP-79-T-3974,Truck,P04060,Mahindra XUV300,Maroon,Active,C0286,E03025
V00872,UP-98-E-2493,Truck,P04062,Kia Sonet,Silver,Active,C0286,E03026
V00873,UP-86-Z-6840,Commercial Vehicle,P04067,Maruti Swift,Maroon,Active,C0287,nan
V00874,MH-20-F-2703,Motorcycle,P04068,Kia Sonet,White,Active,C0287,E03058
V00875,WB-52-K-7228,Truck,P04073,Maruti Swift,Grey,Active,C0287,E03059
V00876,DL-38-F-3734,Commercial Vehicle,P04076,Bajaj Pulsar,Silver,Active,C0287,nan
V00877,MH-25-P-5134,Motorcycle,P04079,Toyota Glanza,Green,Active,C0287,nan
V00878,MH-54-K-2600,Van,P04084,Maruti Swift,Black,Active,C0287,nan
V00879,UP-94-B-9213,Car,P04085,Hyundai i20,Blue,Active,C0287,nan
V00880,DL-52-G-4873,Motorcycle,P04087,Tata Nexon,White,Inactive,C0287,E03060
V00881,MH-15-K-7229,Truck,P04094,Toyota Glanza,Silver,Active,C0287,E03061
V00882,MH-40-X-6431,SUV,P04100,Mahindra XUV300,Grey,Active,C0287,E03062
V00883,WB-79-B-7628,SUV,P04103,Mahindra XUV300,Blue,Active,C0287,E03063
V00884,MH-64-V-7070,Commercial Vehicle,P04113,Hyundai i20,Blue,Active,C0289,E03085
V00885,TN-33-G-4218,Car,P04116,Kia Sonet,Grey,Active,C0289,E03086
V00886,MP-74-G-9569,SUV,P04127,Mahindra XUV300,Green,Active,C0289,nan
V00887,WB-61-W-9144,SUV,P04128,Toyota Glanza,Grey,Active,C0289,nan
V00888,UP-94-Q-1620,SUV,P04135,Maruti Swift,Black,Active,C0290,E03096
V00889,KL-66-V-5609,Motorcycle,P04137,Bajaj Pulsar,White,Active,C0290,E03097
V00890,MH-67-A-3764,Car,P04139,Kia Sonet,White,Active,C0291,E03109
V00891,MP-61-Q-4773,Truck,P04140,Toyota Glanza,Silver,Active,C0291,E03110
V00892,MH-34-H-1922,Truck,P04155,Toyota Glanza,Silver,Active,C0291,nan
V00893,MP-67-X-7790,Truck,P00325,Hyundai i20,Maroon,Active,C0292,E03111
V00894,KA-79-Y-6423,Truck,P04161,Mahindra XUV300,Black,Active,C0293,E03116
V00895,MP-38-K-8263,Commercial Vehicle,P04162,Tata Nexon,Grey,Active,C0293,E03117
V00896,MP-65-R-5327,Car,P04166,Kia Sonet,Silver,Active,C0294,nan
V00897,MH-92-L-1570,Car,P04171,Bajaj Pulsar,Silver,Active,C0294,nan
V00898,MH-20-E-2773,Truck,P04178,Toyota Glanza,Blue,Active,C0294,nan
V00899,TS-65-W-3377,SUV,P04180,Hyundai i20,White,Active,C0295,E03150
V00900,WB-22-Z-5297,Van,P04184,Tata Nexon,Black,Active,C0295,E03151
V00901,KA-96-M-6279,SUV,P04190,Honda City,Blue,Active,C0295,nan
V00902,DL-23-Z-1316,Truck,P04196,Bajaj Pulsar,Blue,Active,C0295,nan
V00903,MH-05-Z-7906,Commercial Vehicle,P04197,Toyota Glanza,Maroon,Active,C0295,E03152
V00904,TS-77-Z-5281,Truck,P04198,Toyota Glanza,Black,Active,C0295,E03153
V00905,MH-07-O-9467,Van,P04201,Honda City,Silver,Active,C0295,nan
V00906,DL-42-N-2986,Motorcycle,P00823,Hyundai i20,Green,Active,C0296,E03154
V00907,RJ-28-R-4017,Car,P04212,Toyota Glanza,Grey,Active,C0296,nan
V00908,MH-81-Z-5708,SUV,P04215,Maruti Swift,Silver,Active,C0297,E03165
